uniqueid,TrumpApproveFlag,LikelyConsiderFlag,LeanConsiderFlag,LeanNotConsiderFlag,LikelyNotConsiderFlag,TurnoutTargetsFlag,onlineact,offlineact,cc,PotentialActivist,Turnout_Score
DA4DB6DC-4292-4A16-B,1,0,0,0,0,1,0,NA,NA,0,0.9673070958815515
C6692731-10BB-4D85-B,1,0,0,0,0,1,0,NA,1,0,0.7778410851024091
2322425A-3EA2-43E9-8,1,0,0,0,0,1,1,NA,1,0,0.4575241869315505
DA3C18B5-1669-47A0-9,1,0,0,0,0,1,0,NA,NA,0,0.7067174253752455
7EC3A620-577A-4408-B,1,0,0,0,0,1,1,1,NA,0,0.09130053338594735
05EC0363-9B9F-4338-9,1,0,0,0,0,1,0,NA,NA,0,0.15535542787984014
6D1B7E7C-EEA4-46E1-B,1,0,0,0,0,1,1,1,1,0,0.7835546422284096
CE482280-F430-406F-A,1,0,0,0,0,1,0,NA,NA,0,0.8906802671262994
13238F6A-5290-4A6B-8,1,0,0,0,0,1,1,NA,1,0,0.8425339506939054
A0D60860-16B0-4304-8,1,0,0,0,0,1,1,NA,NA,0,0.8437889015767723
1FF1A634-15DE-418E-9,1,0,0,0,0,1,1,NA,NA,0,0.7578745088540018
4187BB48-2E70-42C1-A,1,0,0,0,0,1,0,NA,NA,0,0.8992572200950235
C5D688BC-C5FD-42FA-8,1,0,0,0,0,1,0,NA,NA,0,0.9270555647090077
DA2A97B0-AD99-4518-B,1,0,0,0,0,1,1,NA,1,0,0.8736977241933346
FE17556F-0837-4304-9,1,0,0,0,0,1,1,1,1,0,0.5005187803180888
7383AE3D-DB2A-4EF1-A,1,0,0,0,0,1,0,NA,NA,0,0.16974446340464056
75286915-DDD1-4C43-A,1,0,0,0,0,1,0,1,NA,0,0.8320263682398945
50DB13EF-781F-4E09-B,1,0,0,0,0,1,1,NA,NA,0,0.19041380612179637
79F6C418-4C71-4859-B,1,0,0,0,0,1,0,NA,NA,0,0.2352919017430395
EA691096-2BEB-4DA3-8,1,0,0,0,0,1,1,NA,NA,0,0.8184380563907325
8EE84558-87A4-489B-8,1,0,0,0,0,1,1,1,NA,0,0.5780100988922641
425E8CA1-BF27-4396-9,1,0,0,0,0,1,0,NA,NA,0,0.0087472687009722
3054A8F4-4BD2-4795-A,1,0,0,0,0,1,0,1,NA,0,0.09700520127080381
CC059825-BA90-4EEB-B,1,0,0,0,0,1,0,NA,1,0,0.4700918609742075
95C3E1D8-3779-4AA7-9,1,0,0,0,0,1,0,NA,NA,0,1.1219051079824567
4C003BCD-7C70-485C-9,1,0,0,0,0,1,0,NA,1,0,0.09239390096627176
EB1A7386-A20B-40D5-B,1,0,0,0,0,1,0,NA,NA,0,0.06925433431752026
926A9811-3835-47DD-8,1,0,0,0,0,1,1,NA,NA,0,0.9312562064733356
68857E57-D3EC-4AE4-9,1,0,0,0,0,1,1,1,1,0,0.7801736968103796
96B959D5-9EB5-4CBD-A,1,0,0,0,0,1,0,NA,NA,0,1.1230247605126351
619CDA93-78B7-414E-8,0,0,0,0,0,1,0,1,NA,0,0.8187660665716976
9781BE02-1E70-446F-9,1,0,0,0,0,1,0,NA,NA,0,0.002192198531702161
E0FDA2E1-96ED-4F5A-A,1,0,0,0,0,1,0,NA,NA,0,0.9358624129090458
89FD6013-E056-42B9-8,1,0,0,0,0,1,0,NA,NA,0,0.9272056308109313
964BEAD4-D275-4B36-B,1,0,0,0,0,1,0,NA,NA,0,0.8206601642305031
